Disposition,Orbital Period,Transit Epoch,Impact Parameter,Transit Duration,Transit Depth,Planetary Radius,Equilibrium Temperature,Transit Signal-to-Noise,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Radius,Right Ascension,Declination,Kepler-band
FALSE POSITIVE,0.62,132.09,0.04,0.77,161,1.72,2513,77.8,6045,4.26,1.34,296.82,44.87,12.19
FALSE POSITIVE,368.71,232.61,0.6,6.08,957,2.87,267,12.2,6409,4.52,0.89,295.67,43.65,15.42
FALSE POSITIVE,3.17,133.76,0.94,7.09,1740,8.8,1410,98.6,5116,3.99,1.62,286.69,43.87,14.4
FALSE POSITIVE,1.83,132.82,1.03,3.99,46700,42.1,1664,890.3,6352,4.43,1.07,286.13,45.28,14.27
FALSE POSITIVE,22.27,134.76,0.78,4.59,179000,39.79,515,2141.3,5068,4.56,0.73,283.99,39.78,15.36
FALSE POSITIVE,15.29,132.81,0.37,5,512000,54.56,509,1758.7,4464,4.58,0.72,297.28,39.71,15.99
FALSE POSITIVE,3.45,131.71,0.89,2.97,150,0.95,743,10.2,4186,4.66,0.64,289.97,39.82,15.73
FALSE POSITIVE,5.02,133.12,1.04,3.82,53000,42.15,1159,696.5,6322,4.44,0.99,293.28,39.92,14.36
FALSE POSITIVE,3.43,133.59,1.16,2.8,40200,47.48,1251,308.5,5815,4.35,0.97,285.66,45.22,13.68
FALSE POSITIVE,35.03,160.6,0.78,2.9,120000,34.88,489,1607.2,5546,4.58,0.81,292.88,45.34,15.5
FALSE POSITIVE,8.26,131.5,0.61,3.91,312000,58.19,809,2981.6,5306,4.45,0.89,295.27,45.48,13.45
FALSE POSITIVE,2.67,133.51,0.99,22.49,48.3,1.53,1792,32.5,6593,4.16,1.56,295.69,45.53,13.69
FALSE POSITIVE,0.42,132.19,0.45,1.02,235,0.58,1062,33.3,3553,4.89,0.37,288.72,40.99,15.59
FALSE POSITIVE,14.59,135.27,0.01,2.73,202,1.17,702,9.3,5904,4.57,0.82,299.07,47.9,14.6
FALSE POSITIVE,0.63,132.07,0.44,2.41,427000,52.75,1475,541.4,4446,4.57,0.74,295.54,42.43,14.79
FALSE POSITIVE,0.57,131.82,0.75,3.32,104,0.58,1180,18.1,3844,4.72,0.53,291.26,42.58,15.77
FALSE POSITIVE,1.29,132.64,0.46,1.84,28600,10.97,1249,45.8,4995,4.62,0.64,287.26,48.85,13.24
FALSE POSITIVE,2.98,134.4,0.48,3.73,375000,70.52,1370,1737.7,6065,4.38,1.05,282.61,48.97,14.65
FALSE POSITIVE,2.16,131.83,0.41,3.64,84.8,0.95,1487,11.8,6047,4.42,1.01,291.31,49.24,15.54
FALSE POSITIVE,4.7,136.31,1.3,2.34,4790,37.24,981,101.1,5408,4.48,0.88,294.52,38.96,14.92
FALSE POSITIVE,1.71,133.16,0.71,1.01,278,1.82,1455,11.5,5387,4.38,1.01,295.06,49.05,15.27
FALSE POSITIVE,0.65,132.03,0.94,1.19,116,1.49,2373,14.3,6325,4.41,1.11,294.34,50.34,15.21
FALSE POSITIVE,0.96,132.42,1.24,1.26,1020,31.51,2026,90.4,6274,4.43,1.06,291.36,43.39,14.84
FALSE POSITIVE,364.34,183.32,0.93,13.49,1940,4.4,228,15.9,5606,4.56,0.8,287.72,45.44,15.62
FALSE POSITIVE,28.51,132.79,1.03,3.13,24400,27.79,613,449,6131,4.5,0.95,297.74,46.66,14.88
FALSE POSITIVE,1.33,131.59,0.25,3.47,124,0.66,1009,16.6,4137,4.65,0.61,299.82,45.33,15.16
FALSE POSITIVE,476.73,496.43,0.01,9.33,1040,23.42,530,17.9,5068,2.83,7.42,286.9,46.82,13.59
FALSE POSITIVE,0.89,131.53,0.32,2.64,134,20.96,5714,10.8,4981,2.44,18.37,298.16,39.9,13.92
FALSE POSITIVE,34.19,132.14,0.96,3.01,118000,74.5,660,2594.9,5757,4.13,1.35,288.32,40,12.87
FALSE POSITIVE,4.41,134.28,1.16,3.62,38000,35.68,942,386.1,5496,4.61,0.74,295.98,40.06,14.98
FALSE POSITIVE,2.95,134.37,1.37,24.79,338,89.95,2148,18.1,6955,3.89,2.16,291.66,40.25,12.73
FALSE POSITIVE,3.04,132.5,0.39,7.64,66.1,0.62,1076,18.2,5525,4.6,0.75,294.16,45.71,14.57
FALSE POSITIVE,1.22,132.09,0.05,1.48,53.5,2.48,2948,10.1,5742,3.52,3.37,299.68,45.71,13.92
FALSE POSITIVE,3.91,131.89,0.78,5.36,97100,42.54,1364,1587.6,6425,4.34,1.14,286.07,45.9,14.62
FALSE POSITIVE,0.53,131.74,0.36,1,704,0.54,753,9.8,3229,5.08,0.2,286.62,42.78,16.67
FALSE POSITIVE,0.57,131.82,0.64,4.01,25.4,0.4,1984,15.4,5799,4.6,0.76,291.71,42.97,13.77
FALSE POSITIVE,2.32,132.34,0.4,3.35,33.6,0.7,1559,13,6025,4.3,1.19,295.83,42.94,13.61
FALSE POSITIVE,281.51,171.53,0.63,40.96,5950,85.77,685,182.5,4797,2.63,10.71,287.38,43.01,10.97
FALSE POSITIVE,3.99,135.13,0.17,1.47,214,2.4,1447,10.5,5791,4.06,1.65,289.08,49.42,13.04
FALSE POSITIVE,13.64,144.53,1.03,3.12,81100,44,680,664.1,5461,4.52,0.85,292.22,49.71,15.85
FALSE POSITIVE,1.82,132.53,0.77,2.43,109,0.66,907,10.1,4205,4.67,0.58,288.59,49.97,15.44
FALSE POSITIVE,37.02,131.84,0.31,1.42,581,2.14,507,6.6,5685,4.54,0.89,286.1,50.13,15.42
CONFIRMED,153.98,165.49,0.04,9.03,793,2.53,330,16.1,5858,4.5,0.9,286.7,40.29,15.67
FALSE POSITIVE,116.3,168.33,0.46,2.25,649,2.18,336,6.3,5593,4.55,0.84,292.39,44.13,15.5
FALSE POSITIVE,421.98,226.94,0.15,13.8,173,2.02,334,15,6760,4.19,1.52,294.62,44.22,12.34
FALSE POSITIVE,243.95,221.27,0.12,2.56,292,1.35,257,5.2,5578,4.58,0.79,291.28,45.57,14.43
FALSE POSITIVE,0.54,131.6,0.08,2.38,181,2.04,3204,20.4,7118,4.21,1.49,294.54,40.31,12.51
FALSE POSITIVE,0.96,131.69,0.53,2.74,232000,45.91,1743,1191.2,5530,4.43,0.89,290.09,40.46,14.16
FALSE POSITIVE,12.42,141.68,0.01,16.01,162,0.87,606,12.8,4995,4.58,0.7,297.64,40.49,15.71
FALSE POSITIVE,9.58,138.87,0.8,6.83,120000,99.66,1212,2595.9,5605,3.81,2.28,286.82,40.51,13.09
FALSE POSITIVE,1.07,132.3,0.18,1.32,54.8,0.9,1991,10.8,5869,4.27,1.22,298.4,40.59,14.17
FALSE POSITIVE,2.52,133.49,0.09,2.52,59.6,0.97,1430,10,5403,4.2,1.28,293.01,46.17,14.59
FALSE POSITIVE,0.54,131.72,0.04,2.89,105,0.92,2142,10.6,5822,4.53,0.9,297.29,46.1,15.45
FALSE POSITIVE,3.66,132.53,2.96,35.64,35500,374.78,1708,291.7,6793,4.1,1.59,281.63,46.32,13.66
FALSE POSITIVE,33.89,135.35,0.33,2.01,205,1.22,527,6.8,5818,4.55,0.85,301.17,44.66,14.52
FALSE POSITIVE,542.53,278.39,0.33,11.06,75.2,1.07,266,11.2,6099,4.2,1.21,295.19,46.37,11.25
FALSE POSITIVE,1.06,131.73,0.13,2.31,52,0.68,1757,16.3,5893,4.51,0.94,288.96,44.58,14.17
FALSE POSITIVE,24.24,136.62,0.43,4.17,462000,102.31,793,1126.4,6457,4.26,1.37,291.32,43.6,10.82
FALSE POSITIVE,1.08,131.56,0.89,4.12,141000,69.11,2094,1589.6,6011,4.22,1.27,297.92,43.26,13.89
FALSE POSITIVE,4.8,135.78,0.67,3.57,277000,48.67,941,893.6,5591,4.59,0.76,294.73,43.35,15.43
FALSE POSITIVE,33.16,159.81,0.77,9.01,222000,146.47,1068,3733.6,7967,4,2.38,296.46,50.29,11.56
FALSE POSITIVE,20.71,134.03,1.25,42.74,1000,89.55,1246,154.4,6956,3.74,2.89,295.21,50.32,11.31
FALSE POSITIVE,31.95,142.71,0.91,8.05,17700,47.96,864,1364.9,5524,3.69,2.73,288.49,50.68,13.03
FALSE POSITIVE,31.97,133.87,0.53,12.28,117,0.95,521,11.1,5632,4.55,0.85,292.15,44.7,14.82
FALSE POSITIVE,1.22,131.51,0.14,1.3,39.7,0.87,2230,11.8,6717,4.27,1.37,295.85,44.3,13.52
FALSE POSITIVE,0.98,132.12,0.41,0.51,158,1.21,1820,16.2,6038,4.52,0.9,290.36,44.27,14.65
FALSE POSITIVE,2.98,132.98,0.24,4.02,55,0.79,1395,13,6202,4.39,1.06,290.12,38.53,14.11
FALSE POSITIVE,137.4,158.92,0.53,17.61,155,3.38,517,13.2,5425,3.7,2.66,280.52,43.08,13.67
FALSE POSITIVE,100.3,176.76,0.39,10.58,488000,78.77,421,354.7,6060,4.4,1.05,284.52,44.46,17.91
FALSE POSITIVE,386.6,221.29,0.23,3.31,381,1.89,259,5.8,6137,4.49,0.96,288.51,47.12,14.79
FALSE POSITIVE,45.68,142.36,0.21,2.29,350,14.5,1215,3.7,4835,2.61,7.92,293.66,44.53,13.41
FALSE POSITIVE,1.8,131.87,0.94,7.32,125000,55.26,1642,877.8,6363,4.46,1.01,299.38,40.69,14.89
FALSE POSITIVE,1.03,131.6,0.65,2,27,0.94,2657,10.9,6862,4.11,1.71,292.11,40.79,12.41
FALSE POSITIVE,16.29,143.19,0.61,6.02,174000,68.05,929,7486.2,6237,4.15,1.51,292.51,40.83,14.2
FALSE POSITIVE,0.82,132.24,1.22,3.83,26200,91.21,2941,486.3,6531,3.96,1.92,298.91,46.59,13.39
FALSE POSITIVE,8.96,137.54,1.21,61.23,455,28.97,1040,109.9,6543,4.38,1.16,297.52,46.7,12.04
FALSE POSITIVE,7.45,137.69,0.35,4.24,153000,34.37,871,1837.9,5636,4.49,0.87,295.3,46.92,15.18
FALSE POSITIVE,2.07,132.84,0.81,4.45,199000,75.64,1696,2409.8,6140,4.25,1.25,298.68,46.95,13.55
FALSE POSITIVE,0.97,131.6,1.22,2.49,774,28.15,1867,92.4,5755,4.4,1.02,294.02,39.92,15.12
FALSE POSITIVE,25.95,154.87,0.14,10.98,558,2.03,567,14,5692,4.55,0.87,293.7,38.96,16
FALSE POSITIVE,4.29,131.77,0.89,4.73,140000,64.04,1319,1329.6,6467,4.38,1.17,289.92,43.51,15.57
FALSE POSITIVE,2.1,132.64,0.61,4.23,321000,67.03,1421,86.4,5780,4.44,1,291.89,43.73,19.49
FALSE POSITIVE,2.35,131.94,0.76,1.68,32.5,1.24,2173,7.2,6749,3.94,2,282.15,43.87,12.05
FALSE POSITIVE,4.31,132.35,0.55,5.62,361000,71.49,1266,6104.8,6502,4.44,1.04,292.06,43.93,12.82
FALSE POSITIVE,25.32,139.69,0.95,4.45,120000,56.62,655,673.3,6109,4.46,1.03,288.4,51.07,15.13
FALSE POSITIVE,8.63,139.99,1.14,4.66,36800,188.55,1446,1157.5,5146,3.48,4.06,296.35,51.12,13.84
FALSE POSITIVE,498.69,556.52,0.11,17.88,548,2.44,246,9.4,6184,4.45,1.04,287.86,51.49,15.17
FALSE POSITIVE,563.95,145.55,0.05,15.63,873,2.55,209,16.3,5853,4.54,0.87,293.03,38.21,14.57
FALSE POSITIVE,2.22,131.8,0.07,2.15,29.4,1.16,2371,11.7,7524,4.07,2.09,291.55,37.82,12.73
FALSE POSITIVE,0.57,131.82,0.2,3.91,12.3,0.48,2783,10.4,6476,4.26,1.35,291.61,42.81,12.32
FALSE POSITIVE,0.71,131.68,0.45,2.47,74.9,0.64,1693,18,5383,4.61,0.74,289.94,50.65,14.84
FALSE POSITIVE,25.95,148.98,0.95,11.64,67.8,2.06,753,7.6,5109,3.87,1.92,293.68,39.01,13.96
FALSE POSITIVE,224.59,208.79,0.77,3.23,125,2.17,392,8.2,5786,3.99,1.77,294.87,44.98,12.24
FALSE POSITIVE,289.49,363.42,0.15,3.91,773,2.87,290,6.6,5978,4.41,1.03,294.4,39.17,15.14
FALSE POSITIVE,0.53,131.81,0.48,0.95,78.3,2.28,5513,37,10747,4.1,2.43,296.31,39.12,12.31
FALSE POSITIVE,0.5,131.62,1.25,1.01,4660,26.81,1825,240,5109,4.56,0.72,289.39,40.65,15.34
FALSE POSITIVE,153.52,281.3,0.15,3.89,255,3.09,493,5.7,6233,3.95,1.92,291.95,36.95,13.64
FALSE POSITIVE,76.38,205.06,0.73,0.65,276,1.73,406,5.7,5451,4.4,0.94,285.83,49.39,13.72
FALSE POSITIVE,16.83,133.17,0.22,7.8,48400,61.35,1243,5156.6,6300,3.65,2.76,299.16,40.93,13.13
FALSE POSITIVE,0.91,132.2,0.03,1,110,0.76,1468,12.1,4949,4.55,0.74,289.3,41.28,15.28
FALSE POSITIVE,1.14,132.59,0.77,2.39,13.5,0.68,3190,7.8,8847,4.2,1.69,296.48,41.24,12.5
FALSE POSITIVE,12.59,134.74,0.63,5.53,303000,49.21,642,3990.5,5293,4.6,0.76,287.04,41.33,14.83
FALSE POSITIVE,374.94,137.99,0.64,17.08,235,4.67,381,8.4,5382,3.65,2.91,290.88,44.86,13.92
FALSE POSITIVE,41.81,166.53,0.01,2.21,302,1.4,483,5.9,5593,4.48,0.81,299.58,47.02,15.02
FALSE POSITIVE,13.68,135.21,0.09,4.23,186000,30.6,635,3641.6,5359,4.57,0.71,291.94,47.31,11.54
FALSE POSITIVE,1.35,131.94,0.58,2.24,105000,26.69,1444,303,5426,4.51,0.78,298.14,47.38,14.96
FALSE POSITIVE,18.74,135.21,0.2,5.2,125000,35.61,717,2964.7,6122,4.47,1,289.04,47.47,15.86
FALSE POSITIVE,4.94,131.61,1.22,3.46,1030,19.43,728,62.5,4428,4.59,0.7,293.74,39.83,14.93
FALSE POSITIVE,12.42,141.8,0.98,27.29,203,1.44,634,15.5,5279,4.62,0.72,297.53,40.65,15.96
FALSE POSITIVE,4.43,355.14,1.26,3.03,6120,32.12,950,166.3,5344,4.55,0.81,282.23,48.27,15.91
FALSE POSITIVE,4.27,133.05,0.09,2.69,264,1.88,1326,11.4,6477,4.36,1.15,283.07,48.8,14.5
FALSE POSITIVE,2.33,132.13,1,16.79,288,9.76,2501,79.9,7046,3.83,2.72,291.01,37.43,11.66
FALSE POSITIVE,0.55,131.77,1.09,4.99,106,10.04,2206,42.8,5952,4.49,0.9,299.71,44.04,13.87
FALSE POSITIVE,0.71,131.94,1.13,5.55,149,15.33,2109,19.6,6106,4.49,0.97,295.38,39.45,15.06
FALSE POSITIVE,480.04,318.47,0.26,16.25,717,1.14,109,9,3622,4.83,0.43,287.08,41.95,15.64
FALSE POSITIVE,0.57,131.82,0.47,2.85,23,0.79,3114,14.3,6432,4.02,1.6,291.46,42.58,13.83
FALSE POSITIVE,24.28,154.51,0.72,4.56,714,2.03,432,13.6,4450,4.58,0.71,286.75,45.16,14.16
FALSE POSITIVE,24.24,136.62,0.82,2.7,466,2.19,597,11.3,5763,4.53,0.9,291.28,43.61,15.75
FALSE POSITIVE,8.81,134.03,0.99,34.76,175,2.69,1000,137.3,6017,4.3,1.21,295.72,45.75,12.24
FALSE POSITIVE,1.46,131.59,0.75,3.58,71.3,0.93,1665,15.5,6063,4.48,1.01,290.36,46.66,14.56
FALSE POSITIVE,21.87,138.52,0.06,2.03,302,1.88,730,9.2,6309,4.4,1.08,291.73,38.41,15.02
FALSE POSITIVE,42.03,172.23,0.72,2.55,190,1.5,561,6,6158,4.43,1.02,289.72,42.01,14.52
FALSE POSITIVE,452.1,460.49,0.11,12.69,464,2.08,254,6.2,6276,4.46,0.96,292.1,37.57,15.11
FALSE POSITIVE,0.77,131.69,0.81,1.78,19400,15.64,2163,368.9,6267,4.43,1,289.08,39.57,15.58
FALSE POSITIVE,103.28,147.79,0.63,1.67,78.4,1.96,583,5.5,6185,3.88,2.1,286.04,40.86,12.97
FALSE POSITIVE,523.37,185.17,1,1.01,9920,17.45,240,8.4,6397,4.51,0.91,293.4,39.57,15.58
FALSE POSITIVE,2.31,133.2,1.25,2.43,13400,33.55,1180,733.6,5508,4.6,0.76,296.77,41.32,13.46
FALSE POSITIVE,5.24,132.68,0.82,10.1,93.5,1.03,1068,13.1,6029,4.48,0.96,291.82,41.7,14.97
FALSE POSITIVE,3.99,132.57,0.25,20.79,631000,60.26,996,2055.9,5538,4.56,0.72,294.48,47.45,14.4
FALSE POSITIVE,0.93,131.52,1.17,6.17,172,103.98,3442,25.5,4909,3.14,5.27,292.78,47.54,13.33
FALSE POSITIVE,45.43,159.87,0.49,14.24,414000,77.25,529,1337,5731,4.36,1.08,297.38,47.55,14.77
FALSE POSITIVE,2.04,131.56,0.79,3.94,36,0.9,1812,11.4,6356,4.22,1.36,295.84,47.65,13.93
FALSE POSITIVE,9.09,139.08,0.65,6.4,101000,68.91,1511,756.4,7675,4.05,2.02,297.12,47.74,13.02
FALSE POSITIVE,4.56,133.21,0.99,13.05,71.9,2.97,1533,16.8,5446,3.79,2.39,290.68,47.85,13.98
FALSE POSITIVE,9.45,136.03,1.24,5.55,12900,60.59,1152,231.4,6558,4.17,1.43,286.29,43.61,13.1
FALSE POSITIVE,15.93,145.55,0.67,7.43,272000,57.95,670,2278.9,5496,4.47,0.92,292.53,37.81,14.88
FALSE POSITIVE,3.69,135.19,1.19,3.37,25200,62.55,1453,568.7,6309,4.27,1.4,291.19,38.24,14.47
FALSE POSITIVE,67.42,133.43,0.72,7.65,182000,49.46,470,836,6071,4.43,0.96,294.44,38.38,13.92
FALSE POSITIVE,11.93,142.13,0.05,6.69,183,0.98,632,10.6,5010,4.55,0.75,290.65,44.9,15.58
FALSE POSITIVE,10.3,137.17,0.36,5.99,520000,69.66,787,2039.1,5497,4.42,0.9,290.59,44.21,15.18
FALSE POSITIVE,0.96,131.77,1.14,3.85,48700,72.76,2441,3062.6,6367,4.13,1.47,301.02,44.23,13.48
FALSE POSITIVE,2.89,133.2,1.06,3.17,71600,47.55,1225,563.9,5622,4.44,0.92,297.11,44.4,15.6
FALSE POSITIVE,106.18,234.64,0.72,10.42,165000,54.91,441,7056.8,6038,4.25,1.14,296.9,43.82,13.74
FALSE POSITIVE,10.99,138.81,0.47,5.07,419000,52.69,627,469.5,4856,4.55,0.74,300.78,44.19,16.75
FALSE POSITIVE,0.59,131.84,4.04,2.02,221000,266.99,1564,285.2,4756,4.6,0.67,291.49,39.05,15.99
FALSE POSITIVE,45.58,138.68,0.25,3.19,76.5,2.42,957,9.6,7266,3.83,2.72,290.18,37.82,12.66
FALSE POSITIVE,623.01,201.39,0.9,23.56,140000,66.64,229,2386.6,5689,4.3,1.21,297.48,39.64,14.02
FALSE POSITIVE,396.05,471.23,0.98,16.38,932,13.52,370,39.4,5327,3.64,2.88,288.73,42.12,12.99
FALSE POSITIVE,2.86,134.18,1.26,2.38,645,515.07,3638,37.1,4893,2.5,16.27,291.02,37.97,12.53
FALSE POSITIVE,0.6,131.99,0.46,0.84,164,3.91,3730,20.6,6240,3.68,2.95,296.79,44.77,12.96
FALSE POSITIVE,37.79,167.42,0.08,1.72,67.2,0.89,592,6.9,6178,4.42,1.08,289.79,51.99,11.98
FALSE POSITIVE,1.89,131.91,1.18,19.45,250000,73.04,1221,401.5,5328,4.57,0.72,292.99,41.72,13.04
FALSE POSITIVE,16.43,136.29,0.57,5.16,45700,25.25,789,2171.4,5963,4.32,1.13,282.91,41.83,13.81
FALSE POSITIVE,1.4,131.68,0.08,9.06,43.2,0.49,1316,15.5,5074,4.54,0.76,290.19,41.87,12.76
FALSE POSITIVE,0.84,131.95,0.41,2.8,305000,39.98,1553,1509.3,5220,4.58,0.7,297.67,41.88,13.83
FALSE POSITIVE,17.45,135.75,0.59,6.09,334000,63.46,682,4093.9,5759,4.48,0.95,291.93,41.96,11.23
FALSE POSITIVE,0.62,131.83,0.16,2.67,13.9,0.84,3459,8.5,6619,3.89,2.23,290.38,48,13.74
FALSE POSITIVE,2.62,134.04,0.18,3.2,45.1,2.16,2033,12.7,5088,3.5,3.29,299.08,47.92,12.39
FALSE POSITIVE,19.41,149.81,0.42,5.28,465000,57.97,597,1496.8,5622,4.59,0.78,299.08,48.02,13.56
FALSE POSITIVE,24.26,147.24,0.81,7.16,192000,58.48,659,5083.9,6151,4.47,0.98,285.98,48.23,12.33
FALSE POSITIVE,8.67,137.34,0.82,5.07,43500,37.51,1225,4638.1,6712,4.17,1.54,299.4,45.32,13.09
FALSE POSITIVE,15.71,132.1,0.86,7.46,9480,10.85,728,98.1,5812,4.43,0.96,299.61,46.12,14.29
FALSE POSITIVE,2.98,132.96,0.36,4.12,72.2,5.65,2615,17.8,5321,3.16,6.67,290.14,38.49,13.5
FALSE POSITIVE,1.81,132.24,0.54,1.1,218,1.05,1059,10.4,4606,4.59,0.7,291.06,38.79,15.28
FALSE POSITIVE,0.92,131.85,0.28,2.4,58.7,0.93,2205,13,6469,4.39,1.19,291.69,38.99,13.48
FALSE POSITIVE,0.53,131.72,1.08,3.65,48.6,9.32,2373,12.1,6185,4.47,0.99,288.87,44.65,15.02
FALSE POSITIVE,3.48,134.18,0.25,4.75,347000,78.24,1485,7428.7,6225,4.19,1.29,298.68,44.64,13.4
FALSE POSITIVE,19.39,142.35,0.01,1.03,4560,6.13,632,2.7,5432,4.42,0.91,290.36,50.05,13.89
FALSE POSITIVE,3.91,133.43,23.13,3.56,292000,1794.2,1018,1229.9,5616,4.55,0.72,293.02,38.32,14.76
FALSE POSITIVE,7.54,137.12,1.27,8.27,6500,63.99,1233,587.2,5953,3.98,1.61,292.78,38.45,12.92
FALSE POSITIVE,4.44,133.61,0.94,2.44,25300,26.08,1258,396.2,6316,4.39,1.12,288.47,40.09,11.3
FALSE POSITIVE,0.88,132.03,1.26,1.6,11700,39.19,1910,44.9,5821,4.4,0.9,294.32,49.53,15.21
FALSE POSITIVE,20.43,135.86,5.5,3.46,122000,601.32,749,526.6,6167,4.35,1.12,296.66,46.38,16.68
FALSE POSITIVE,0.36,132.07,0.27,1.47,113,0.68,1993,23.5,5220,4.62,0.64,298.4,48.21,14.82
FALSE POSITIVE,379.63,245,0.13,16.78,1040,1.67,168,13.8,4847,4.76,0.53,292.89,39.88,15.37
FALSE POSITIVE,186.59,317.71,0.13,16.57,685,2.66,338,8.8,6163,4.46,1.01,289.53,41.16,15.9
FALSE POSITIVE,2.31,132.12,0.25,2.32,489,39.73,4074,24.6,4883,2.44,18.43,287.86,38.37,13.04
FALSE POSITIVE,623.23,274.31,0.08,14.45,603,2.04,196,15.8,5600,4.5,0.84,295.48,48.77,14.65
FALSE POSITIVE,18.53,139.26,0.17,5.89,76200,64.66,1080,5547.2,6154,3.79,2.32,287.67,42.06,12.89
FALSE POSITIVE,63.52,162.16,0.38,17.18,32500,77.1,745,1708.1,4938,3.39,4.33,292.28,42.04,14.99
FALSE POSITIVE,0.72,131.86,0.86,2.54,158000,40.61,1604,514.4,5067,4.57,0.72,293.59,42.14,14.42
FALSE POSITIVE,30.13,152.23,0.63,13.49,281000,83.75,753,2583.7,6674,4.29,1.35,292.1,42.25,13.08
FALSE POSITIVE,0.97,132.37,1.25,2.7,8850,618.37,5205,801.7,5210,2.63,15,298.53,48.42,10.28
FALSE POSITIVE,2.07,132.65,1.24,5.72,16200,55.45,1768,1148.3,6640,4.34,1.25,291.95,48.57,13.68
FALSE POSITIVE,2.48,133.64,0.67,5.72,151000,35.62,1169,489.6,5391,4.54,0.82,286.12,48.92,14.74
FALSE POSITIVE,8.95,132.05,0.52,4.9,86000,45.87,1141,7878,6297,4.16,1.51,297.45,46.88,12.99
FALSE POSITIVE,5.9,136.39,0.17,5.57,54900,25.8,1123,533.9,6184,4.37,1.09,292.76,49.26,15.18
CONFIRMED,0.76,131.62,0.4,1.22,63.7,0.75,1872,11.5,5594,4.49,0.93,285.39,45.05,14.31
FALSE POSITIVE,4.32,131.61,0.87,2.67,59400,29.74,1091,394.4,5896,4.52,0.92,296.1,39.06,15.69
FALSE POSITIVE,8.65,134.3,0.36,2.97,126,0.96,793,9,5561,4.56,0.85,289.76,39.25,14.82
FALSE POSITIVE,1.46,131.78,1.29,16.47,3350,26.29,1253,131,5226,4.65,0.67,291.49,39.39,15.72
FALSE POSITIVE,37.59,168.58,1.2,8.99,28600,43.08,554,485.8,5941,4.43,0.92,284.45,44.96,15.63
FALSE POSITIVE,1.51,132.99,0.4,5.02,477000,178.15,3250,3289.1,8751,4.03,2.35,293.61,45.02,13.25
FALSE POSITIVE,1.58,132.45,1.04,15.18,29.2,15.68,2946,27.9,6742,3.69,3.14,293.55,45.2,12.23
FALSE POSITIVE,1.39,132.85,0.86,3.83,151000,103.41,2619,1752.6,7207,4.06,1.89,286.01,45.36,11.66
FALSE POSITIVE,12.42,141.62,0.98,25.24,139,1.35,691,30.7,5514,4.57,0.83,297.6,40.66,14.42
FALSE POSITIVE,2.24,133.45,0.66,4.32,278000,92.34,1813,5552.2,6181,4.08,1.44,296.65,39.32,12.79
FALSE POSITIVE,1.54,131.98,0.76,4.87,213000,115.49,2689,601.5,7631,4.06,1.94,291.89,42.43,15.35
FALSE POSITIVE,0.52,131.7,0.08,0.9,54,1.82,3565,23.5,6122,3.79,2.46,291.35,38.46,13.09
FALSE POSITIVE,27.77,132.09,0.07,19.49,148,1.2,605,14.2,5897,4.48,1,297.26,41.26,15.2
CONFIRMED,5.34,134.38,0.02,2.45,691,1.72,799,19.9,5101,4.63,0.67,300.43,44.75,13.12
FALSE POSITIVE,0.73,132.02,0.29,2.31,115,0.86,1867,13.8,5855,4.58,0.8,284.5,42.46,15.77
FALSE POSITIVE,1.17,132.42,0.14,11.56,17.3,0.98,3272,13.4,8027,4,2.31,291.56,42.48,12.33
FALSE POSITIVE,2,132.81,0.27,3.47,42.3,0.67,1518,10.5,6045,4.44,1.03,296.8,42.48,14.47
FALSE POSITIVE,0.57,131.8,0.48,3.16,69.5,0.55,1656,21,4987,4.61,0.65,291.32,42.55,14.87
FALSE POSITIVE,1.51,132.03,1.19,1.87,23800,36.72,1357,262.6,5258,4.51,0.81,291.84,49.12,15.72
FALSE POSITIVE,0.69,131.57,0.35,5.97,166,1.23,1878,18,5226,4.4,0.96,288.88,49.49,15.25
FALSE POSITIVE,7.29,136.08,1.13,41.04,183,11.67,763,18.9,5289,4.61,0.73,294.77,49.66,15.85
FALSE POSITIVE,0.91,132.2,1.32,2.24,3670,325.51,3989,107.4,5037,3,7.55,289.29,41.26,6.97
FALSE POSITIVE,0.79,131.93,0.21,3.26,177,0.81,1300,49.6,4447,4.63,0.63,286.83,39.47,14.5
FALSE POSITIVE,0.87,132.06,0.32,1.92,234,6.85,3569,46.5,4936,3.06,4.53,296.14,39.58,12.95
FALSE POSITIVE,17.51,134.39,0.01,5.68,729,52.64,2246,41,4029,1.79,20.89,292.93,39.61,9.24
FALSE POSITIVE,3.04,132.44,0.3,11.06,488000,231.93,2816,3684.9,8199,3.75,3.16,293.69,45.52,12.15
FALSE POSITIVE,2.13,133.3,1.26,5.49,2340,35.68,1555,215.6,6181,4.38,1.03,300.4,45.52,14.82
FALSE POSITIVE,15.93,144.45,1.37,11.51,394000,93.94,566,3458.3,5191,4.62,0.65,295.95,45.74,15.54
FALSE POSITIVE,10.48,136.53,0.32,7.77,120000,54.13,1077,8251.5,6109,4.1,1.54,295.85,45.89,12.42
FALSE POSITIVE,4.69,133.78,0.62,4.53,175000,35.81,946,739.8,5512,4.58,0.79,285.59,39.48,15.58
FALSE POSITIVE,2.18,132.13,0.71,4.88,253000,60.99,1448,4541.1,6106,4.49,0.97,293.69,45.24,13.96
FALSE POSITIVE,231.36,299.73,0.66,4.75,1490,2.45,202,9.2,4691,4.67,0.6,295.27,38.56,15.27
